song_name,artist_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_percent,valence_percent,energy_percent,acousticness_percent,instrumentalness_percent,liveness_percent,speechiness_percent,released_date
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,8870,43,1440757818,104,120,141,26,49,92,C#,Minor,91.00,43.00,71.00,9.00,0.00,9.00,8.00,2022-5-6
Makeba,Jain,1,6060,53,165484133,150,148,"2,703",22,"1,451",116,D,Major,82.00,40.00,66.00,39.00,51.00,25.00,7.00,2015-6-22
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,641,50,58054811,1,52,8,0,"1,170",129,A,Major,63.00,84.00,82.00,70.00,8.00,9.00,7.00,2012-6-20
Fast Car,Luke Combs,1,1446,12,157058870,57,97,35,0,429,98,G#,Major,71.00,67.00,60.00,19.00,0.00,12.00,3.00,2023-3-24
What It Is (Solo Version),Doechii,1,804,25,95131998,29,76,24,0,162,172,C#,Minor,74.00,76.00,76.00,6.00,0.00,10.00,9.00,2023-3-17
Coco Chanel,"Bad Bunny, Eladio Carrion",2,1962,38,250305248,28,89,29,5,82,150,D,Major,68.00,14.00,76.00,4.00,0.00,10.00,4.00,2023-3-17
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,4875,23,685032533,19,45,0,0,10,136,A,Minor,62.00,19.00,53.00,11.00,0.00,6.00,4.00,2017-11-8
Still With You,Jung Kook,1,31,39,38411956,2,107,8,0,0,88,C#,Minor,53.00,34.00,47.00,9.00,0.00,83.00,4.00,2020-6-5
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2175,23,144565150,69,145,69,2,478,143,D#,Major,83.00,69.00,44.00,15.00,0.00,10.00,33.00,2023-5-12
Say Yes To Heaven,Lana Del Rey,1,2000,46,127567540,49,105,63,1,0,100,F#,Minor,49.00,17.00,35.00,71.00,9.00,11.00,3.00,2023-3-17
Snooze,SZA,1,2839,25,399686758,58,156,42,1,236,143,F,Major,56.00,39.00,55.00,14.00,0.00,11.00,13.00,2022-12-9
Summertime Sadness,Lana Del Rey,1,20333,52,983637508,89,143,"1,632",3,200,112,C#,Minor,56.00,24.00,66.00,7.00,0.00,12.00,3.00,2011-1-1
Take Two,BTS,1,674,47,118482347,20,106,25,4,78,93,G,Major,62.00,57.00,59.00,3.00,0.00,38.00,3.00,2023-6-9
